file_path,text,label
OAF_angry\OAF_back_angry.wav,Say the word back,0
OAF_angry\OAF_bar_angry.wav,Say the word bar,0
OAF_angry\OAF_base_angry.wav,Say the word base,0
OAF_angry\OAF_bath_angry.wav,Say the word bath,0
OAF_angry\OAF_bean_angry.wav,Say the word bean,0
OAF_angry\OAF_beg_angry.wav,Say the word beg,0
OAF_angry\OAF_bite_angry.wav,Say the word bite,0
OAF_angry\OAF_boat_angry.wav,Say the word boat,0
OAF_angry\OAF_bone_angry.wav,Say the word bone,0
OAF_angry\OAF_book_angry.wav,Say the word book,0
OAF_angry\OAF_bought_angry.wav,Say the word bought,0
OAF_angry\OAF_burn_angry.wav,Say the word burn,0
OAF_angry\OAF_cab_angry.wav,Say the word cab,0
OAF_angry\OAF_calm_angry.wav,Say the word calm,0
OAF_angry\OAF_came_angry.wav,Say the word came,0
OAF_angry\OAF_cause_angry.wav,Say the word cause,0
OAF_angry\OAF_chain_angry.wav,Say the word chain,0
OAF_angry\OAF_chair_angry.wav,Say the word chair,0
OAF_angry\OAF_chalk_angry.wav,Say the word chalk,0
OAF_angry\OAF_chat_angry.wav,Say the word chat,0
OAF_angry\OAF_check_angry.wav,Say the word check,0
OAF_angry\OAF_cheek_angry.wav,Say the word cheek,0
OAF_angry\OAF_chief_angry.wav,Say the word chief,0
OAF_angry\OAF_choice_angry.wav,Say the word choice,0
OAF_angry\OAF_cool_angry.wav,Say the word cool,0
OAF_angry\OAF_dab_angry.wav,Say the word dab,0
OAF_angry\OAF_date_angry.wav,Say the word date,0
OAF_angry\OAF_dead_angry.wav,Say the word dead,0
OAF_angry\OAF_death_angry.wav,Say the word death,0
OAF_angry\OAF_deep_angry.wav,Say the word deep,0
OAF_angry\OAF_dime_angry.wav,Say the word dime,0
OAF_angry\OAF_dip_angry.wav,Say the word dip,0
OAF_angry\OAF_ditch_angry.wav,Say the word ditch,0
OAF_angry\OAF_dodge_angry.wav,Say the word dodge,0
OAF_angry\OAF_dog_angry.wav,Say the word dog,0
OAF_angry\OAF_doll_angry.wav,Say the word doll,0
OAF_angry\OAF_door_angry.wav,Say the word door,0
OAF_angry\OAF_fail_angry.wav,Say the word fail,0
